First Name,Last Name,Full Name,Job Title,Company Name,Company Website,Email,Phone Number,Mobile Number,LinkedIn Profile URL,City,State,Country,Industry,Employee Size,Revenue,Data Quality Status,Cleaning Remarks
John,Doe,John,Sales Director,Acme Inc,http://acme.com,john.doe@acme.com,+15551234567,5559876543,https://www.linkedin.com/in/johndoe,New York,Ny,United States,Software,250,$50M,Valid,Record is clean
Jane,Smith,Jane,Marketing VP,Techstart LLC,https://techstart.io,jane.smith@techstart.io,+15552223333,,https://www.linkedin.com/in/janesmith,San Francisco,Ca,United States,Technology,50,$10M,Valid,Record is clean
Fiona,Gallagher,Fiona,Operations Coordinator,Patty'S Pub,https://pattyspub.com,fiona.g@pattys.com,5557778888,,https://www.linkedin.com/in/fionagallagher,Chicago,Il,United States,Hospitality,12,$1M,Valid,Record is clean
George,Windsor,George,HR Manager,Royal Trust,http://royaltrust.co.uk,george@royaltrust.co.uk,+442079460958,,https://www.linkedin.com/company/royaltrust,London,,United Kingdom,Finance,1500,$250M,Valid,Record is clean
Hassan,Bin-Ali,Hassan,Sales exec,Emirates Tech Pvt Ltd,http://emtech.ae,hassan.ali@emirates.ae,+97141234567,,https://www.linkedin.com/in/hassanbinali,Dubai,Dubai,United Arab Emirates,Tech,45,$8M,Valid,Record is clean
Ian,Malcolm,Ian,Consultant,Ingen,https://ingen.org,ian..malcolm@ingen.org,5558889999,,https://www.linkedin.com/in/ianmalcolm,Costa Rica,,Costa Rica,Biotech,300,$120M,Valid,Record is clean
Michael,Scott,Michael,,Company 20 LLC,https://company20.com,michael.scott20@example.com,5550120,,https://www.linkedin.com/in/michaelscott,,,,,,,Valid,Record is clean
Nancy,Drew,Nancy,Security Officer,Company 21 LLC,https://company21.com,nancy.drew21@example.com,5550121,,https://www.linkedin.com/in/nancydrew,Washington,Dc,United States,Security,5,$500K,Valid,Record is clean
Oliver,Queen,Oliver,Lead Architect,Company 22 LLC,https://company22.com,oliver.queen22@example.com,5550122,,https://www.linkedin.com/in/oliverqueen,Boston,Ma,United States,Design,80,$15M,Valid,Record is clean
Patricia,Miller,Patricia,Operations Coordinator,Company 23 LLC,https://company23.com,patricia.miller23@example.com,5550123,,https://www.linkedin.com/in/patriciamiller,Chicago,Il,United States,Hospitality,12,$1M,Valid,Record is clean
Quincy,Jones,Quincy,Marketing VP,Company 24 LLC,https://company24.com,quincy.jones24@example.com,5550124,,https://www.linkedin.com/in/quincyjones,San Francisco,Ca,United States,Technology,50,$10M,Valid,Record is clean
Steven,Rogers,Steven,HR Manager,Company 26 LLC,https://company26.com,steven.rogers26@example.com,5550126,,https://www.linkedin.com/in/stevenrogers,London,,United Kingdom,Finance,1500,$250M,Valid,Record is clean
Tina,Turner,Tina,Sales exec,Company 27 LLC,https://company27.com,tina.turner27@example.com,5550127,,https://www.linkedin.com/in/tinaturner,Dubai,Dubai,United Arab Emirates,Tech,45,$8M,Valid,Record is clean
Victor,Valdes,Victor,Consultant,Company 28 LLC,https://company28.com,victor.valdes28@example.com,5550128,,https://www.linkedin.com/in/victorvaldes,Costa Rica,,Costa Rica,Biotech,300,$120M,Valid,Record is clean
Wendy,Wu,Wendy,Actress,Company 29 LLC,https://company29.com,wendy.wu29@example.com,5550129,,https://www.linkedin.com/in/wendywu,Los Angeles,California,United States,Entertainment,100,$40M,Valid,Record is clean
Xavier,Xavier,Xavier,Sales Director,Company 30 LLC,https://company30.com,xavier.xavier30@example.com,5550130,5559876543,https://www.linkedin.com/in/xavierxavier,New York,Ny,United States,Software,250,$50M,Valid,Record is clean
Yolanda,Young,Yolanda,Marketing VP,Company 31 LLC,https://company31.com,yolanda.young31@example.com,5550131,,https://www.linkedin.com/in/yolandayoung,San Francisco,Ca,United States,Technology,50,$10M,Valid,Record is clean
Zachary,Zimmerman,Zachary,Director of Sales,Company 32 LLC,https://company32.com,zachary.zimmerman32@example.com,5550132,,https://www.linkedin.com/in/zacharyzimmerman,New York City,New York,United States,Software,250,50000000,Valid,Record is clean
Arthur,Pendragon,Arthur,Engineering Lead,Company 33 LLC,https://company33.com,arthur.pendragon33@example.com,5550133,,https://www.linkedin.com/in/arthurpendragon,Chicago,Il,United States,Networking,1200,$300M,Valid,Record is clean
Beatrice,Kiddo,Beatrice,Manager,Company 34 LLC,https://company34.com,beatrice.kiddo34@example.com,5550134,,https://www.linkedin.com/in/beatricekiddo,Minneapolis,Mn,United States,Retail,15,$2M,Valid,Record is clean
Connor,Mcleod,Connor,,Company 35 LLC,https://company35.com,connor.mcleod35@example.com,5550135,,https://www.linkedin.com/in/connormcleod,,,,,,,Valid,Record is clean
Deborah,Hale,Deborah,Security Officer,Company 36 LLC,https://company36.com,deborah.hale36@example.com,5550136,,https://www.linkedin.com/in/deborahhale,Washington,Dc,United States,Security,5,$500K,Valid,Record is clean
Edward,Elric,Edward,Lead Architect,Company 37 LLC,https://company37.com,edward.elric37@example.com,5550137,,https://www.linkedin.com/in/edwardelric,Boston,Ma,United States,Design,80,$15M,Valid,Record is clean
Felicia,Hardy,Felicia,Operations Coordinator,Company 38 LLC,https://company38.com,felicia.hardy38@example.com,5550138,,https://www.linkedin.com/in/feliciahardy,Chicago,Il,United States,Hospitality,12,$1M,Valid,Record is clean
Gerald,Butler,Gerald,Marketing VP,Company 39 LLC,https://company39.com,gerald.butler39@example.com,5550139,,https://www.linkedin.com/in/geraldbutler,San Francisco,Ca,United States,Technology,50,$10M,Valid,Record is clean
