Person First Name,Person Last Name,Job Title,Company,Email Address,Direct Phone,Mobile Phone,LinkedIn URL,City,State,Country,Website,Industry,Employees,Annual Revenue,Junk Column 1,Internal Notes,ZI Score
John,Doe,Sales Director,Acme Inc,john.doe@acme.com,+1 (555) 123-4567,555-987-6543,https://www.linkedin.com/in/johndoe,New york,ny,US,http://acme.com/,Software,250,$50M,Trash1,Notes1,95
JANE,SMITH,Marketing VP,TECHSTART LLC,JANE.SMITH@TECHSTART.IO,+1 555-222-3333,,linkedin.com/in/janesmith?trk=profile_share,SAN FRANCISCO,CA,USA,techstart.io/,Technology,50,$10M,Trash2,Notes2,80
John,Doe,Director of Sales,Acme,john.doe@acme.com,+1-555-123-4567,,https://www.linkedin.com/in/johndoe,New York City,New York,United States,https://acme.com,Software,250,50000000,Trash3,Duplicate notes,92
Bob,Jones,Engineering Lead,Globalnet Corp,bjones_globalnet.net,555-333-4444,,https://www.linkedin.com/in/bobjones,Chicago,IL,U.S.A.,http://www.globalnet.net,Networking,1200,$300M,Trash4,Notes,70
Charlie,Brown,Manager,Red Balloon,charlie@redballoon,+1 555 444 5555,,linkedin.com/in/charliebrown,Minneapolis,MN,US,http://redballoon.org/,Retail,15,$2M,Trash5,Notes,60
,,,,,,,,,,,,,,,,,
Diana,Prince,Security Officer,Themyscira LLC,diana@amazon.org,555-12,,https://www.linkedin.com/in/dianaprince,Washington,DC,united states of america,https://amazon.org/,Security,5,$500K,Trash6,Notes,85
Evan,Wright,Lead Architect,Design Co.,evan.wright@designco.com,555-PHONE-1,,https://www.linkedin.com/in/evanwright/,Boston,MA,US,designco.com,Design,80,$15M,Trash7,Notes,78
  Fiona  ,  Gallagher  ,Operations Coordinator,Patty's Pub,  fiona.g@pattys.com  ,555-777-8888,,linkedin.com/in/fionagallagher,Chicago,IL,US,https://pattyspub.com,Hospitality,12,$1M,Trash8,Notes,50
Jane,Smith,Marketing VP,Techstart LLC,jane.smith@techstart.io,+1 555-222-3333,,https://www.linkedin.com/in/janesmith,San Francisco,CA,US,https://techstart.io,Technology,50,$10M,Trash,Notes,80
